,Unnamed: 0,Airline,AirlineID,SourceAirport,SourceAirportID,DestAirport,DestAirportID,Codeshare,Stops,Equipment,SourceCountry,DestCountry,MeanPeriod,StdPeriod,Seats
199,52711,TK,4951,LOS,273,IST,1701,,0,739,Nigeria,Turkey,1.7794117647058822,0.5003603084707697,257
200,53623,TP,4869,BKO,1044,LIS,1638,,0,319 320,Mali,Portugal,2.2915565447001325,1.861611425059661,181
201,53642,TP,4869,DKR,1084,LIS,1638,,0,321,Senegal,Portugal,0.9972602739726028,0.05227064117353077,182
202,53688,TP,4869,LIS,1638,BKO,1044,,0,319 320,Portugal,Mali,2.2915565447001325,1.861611425059661,181
203,53700,TP,4869,LIS,1638,DKR,1084,,0,321,Portugal,Senegal,0.9972602739726028,0.05227064117353077,182
204,54102,TU,4870,BKO,1044,TUN,287,,0,320,Mali,Tunisia,6.923076923076923,11.920967555346389,156
205,54126,TU,4870,DKR,1084,TUN,287,,0,320 32A,Senegal,Tunisia,2.4066666666666667,0.959837949285654,160
206,54201,TU,4870,TUN,287,BKO,1044,,0,32A,Tunisia,Mali,3.9444444444444446,1.3772848580620185,156
207,54207,TU,4870,TUN,287,DKR,1084,,0,320 32A,Tunisia,Senegal,2.4066666666666667,0.5549374339108469,160
208,56782,UA,5209,IAH,3550,LOS,273,,0,788,United States,Nigeria,2.2915565447001325,1.861611425059661,181
209,57067,UA,5209,LOS,273,IAH,3550,,0,788,Nigeria,United States,2.2915565447001325,1.861611425059661,181
210,62501,W3,407,ABV,260,ACC,248,,0,CR9,Nigeria,Ghana,1.378787878787879,0.685679302968773,156
211,62515,W3,407,ACC,248,ABV,260,,0,CR9,Ghana,Nigeria,1.3893129770992367,0.7472342805200164,155
212,62533,W3,407,FNA,1059,LOS,273,,0,73G,Sierra Leone,Nigeria,1.6545454545454545,0.5630495478982543,152
213,62537,W3,407,JFK,3797,LOS,273,Y,0,345,United States,Nigeria,2.3333333333333335,0.4714045207910314,359
214,62552,W3,407,LOS,273,FNA,1059,,0,73G,Nigeria,Sierra Leone,1.6621004566210045,0.4825514087168195,156
215,62553,W3,407,LOS,273,JFK,3797,Y,0,345,Nigeria,United States,2.3333333333333335,0.4714045207910314,359
216,63132,WB,4292,KGL,1165,LOS,273,,0,73W 738,Rwanda,Nigeria,2.2915565447001325,1.861611425059661,181
217,63139,WB,4292,LOS,273,KGL,1165,,0,738 73W,Nigeria,Rwanda,2.2915565447001325,1.861611425059661,181
218,67449,ZI,21,BKO,1044,ORY,1386,,0,320,Mali,France,2.721311475409836,0.7272482955022568,171
219,67490,ZI,21,ORY,1386,BKO,1044,,0,320,France,Mali,2.721311475409836,0.7272482955022568,171
